no.fibres,mean.prob,median.prob,sd.prob,Q3,Q1,margin,ci.lower,ci.upper
322,3.5320317778196197e-7,4.5393103364451124e-8,7.397480865916215e-7,2.317064145845334e-7,9.883547584090121e-20,4.5904834967451326e-8,3.072983428145106e-7,3.991080127494133e-7
323,3.640204189652385e-7,4.759797350132386e-8,7.597390331565088e-7,2.419009455117446e-7,1.183184765056414e-19,4.714536687221433e-8,3.1687505209302414e-7,4.1116578583745285e-7
324,3.751190282533059e-7,4.9881511072404505e-8,7.801621516715363e-7,2.524830113524683e-7,1.415026261147955e-19,4.8412717071486415e-8,3.267063111818195e-7,4.235317453247923e-7
325,3.865049763971893e-7,5.207095220378164e-8,8.010241076453434e-7,2.6238938959640925e-07,1.6906428025543965e-19,4.970729919131085e-8,3.3679767720587844e-7,4.3621227558850013e-7
326,3.981843299767898e-7,5.4415843771442445e-8,8.22331616679626e-7,2.7373760581845253e-7,2.017984497493144e-19,5.1029529966239765e-8,3.4715480001055004e-7,4.4921385994302953e-7
327,4.101632523310105e-7,5.703625207398142e-8,8.440914441128228e-7,2.855092001075541e-7,2.4063873762866136e-19,5.237982921722323e-8,3.577834231137872e-7,4.6254308154823373e-7
328,4.2244800448535193e-7,5.97676169235231e-8,8.663104046607253e-7,2.9771722677517585e-7,2.866804758884943e-19,5.375861982930743e-8,3.686893846560445e-7,4.762066243146594e-7
329,4.3504494607666273e-7,6.261394514969937e-8,8.889953620543594e-7,3.1037504580784124e-7,3.4120755099655047e-19,5.51663277291635e-8,3.7987861834749924e-7,4.902112738058263e-7
330,4.4796053627479446e-7,6.557936056219216e-8,9.12153228675614e-7,3.2349632711615593e-07,4.0572347802472326e-19,5.6603381862476594e-8,3.913571544123179e-7,5.045639181372711e-7
331,4.612013347008004e-7,6.850816100645055e-8,9.357909651909044e-7,3.370950547686885e-7,4.8198736384974e-19,5.807021417121298e-8,4.031311205295874e-7,5.192715488720134e-7
332,4.747740023414077e-7,7.150618172233813e-8,9.599155801833292e-7,3.508976091434779e-7,5.720554914044324e-19,5.95672595707936e-8,4.152067427706141e-7,5.343412619122013e-7
333,4.886853024594683e-7,7.47318385844071e-8,9.845341297837427e-7,3.639247146636924e-7,6.7832936083900015e-19,6.109495592720051e-8,4.2759034653226774e-7,5.497802583866688e-7
334,5.029421015000096e-7,7.81946217321843e-8,1.0096537173010315e-6,3.7899297342979253e-7,8.036111412366096e-19,6.265374403403365e-8,4.4028835746597596e-7,5.655958455340433e-7
335,5.175513699916453e-7,8.179806350660611e-8,1.0352814928521252e-6,3.9459713849538155e-7,9.511676199660648e-19,6.424406758955139e-8,4.5330730240209393e-7,5.817954375811967e-7
336,5.325201834429914e-7,8.554701273376014e-8,1.0614246529920932e-6,4.107528438610159e-7,1.1248038877952445e-18,6.586637317371629e-8,4.666538102692751e-7,5.983865566167076e-7
337,5.478557232337187e-7,8.944645211645269e-8,1.0880904403446438e-6,4.274760640688188e-7,1.3289481687077255e-18,6.752111022526577e-8,4.803346130084529e-7,6.153768334589845e-7
338,5.635652775000078e-7,9.347805358425235e-8,1.1152861432335956e-6,4.447831183164803e-7,1.568749396391452e-18,6.920873101884324e-8,4.943565464811646e-7,6.32774008518851e-7
339,5.79656242013982e-7,9.763733071005856e-8,1.1430190953155668e-6,4.626906745403142e-7,1.8501893572973527e-18,7.092969064220476e-8,5.087265513717772e-7,6.505859326561868e-7
340,5.961361210568697e-7,1.0179065114350642e-7,1.1712966752144232e-6,4.812157534653852e-7,2.1802114660148664e-18,7.26844469735348e-8,5.234516740833349e-7,6.688205680304046e-7
341,6.130125282854479e-7,1.0602642644361197e-7,1.2001263061577039e-6,5.003757326204985e-7,2.566868515814636e-18,7.447346065888472e-8,5.385390676265631e-7,6.874859889443327e-7
342,6.302931875915732e-7,1.1064540470619011e-7,1.229515455615675e-6,5.201883503161423e-7,3.0194920592956082e-18,7.629719508977443e-8,5.539959925017988e-7,7.065903826813476e-7
343,6.479859339543224e-7,1.1552848749364063e-7,1.2594716349431773e-6,5.406717095831535e-7,3.548886425255217e-18,7.815611638096732e-8,5.69829817573355e-7,7.261420503352897e-7
344,6.660987142844598e-7,1.2059972852102106e-7,1.2900023990247717e-6,5.618442820700742e-7,4.167550772770744e-18,8.005069334844988e-8,5.860480209360098e-7,7.461494076329097e-7
345,6.846395882608905e-7,1.258652399911763e-7,1.3211153459235967e-6,5.837249118971294e-7,4.889933027099443e-18,8.198139748764165e-8,6.026581907732489e-7,7.666209857485321e-7
346,7.03616729158716e-7,1.3133129107630012e-7,1.3528181165342625e-6,6.053792305988096e-7,5.7327200399968855e-18,8.394870295185571e-8,6.196680262068603e-7,7.875654321105717e-7
347,7.230384246685852e-7,1.3700431064227873e-7,1.385118394240261e-6,6.244644335617657e-7,6.715168875641258e-18,8.595308653103927e-8,6.370853381375459e-7,8.089915111996244e-7
348,7.42913077706936e-7,1.4289088998541685e-7,1.4180239045761795e-6,6.440507619942492e-7,7.859484749396452e-18,8.799502763081257e-8,6.549180500761235e-7,8.309081053377486e-7
